dim time type
47.8 0.3116385670213974 cu-fit
47.9 0.331105079204992 cu-fit
48.0 0.35178756764022945 cu-fit
48.1 0.3737619883191534 cu-fit
48.2 0.397109041827071 cu-fit
48.3 0.42191446971370034 cu-fit
48.4 0.4482693693771706 cu-fit
48.5 0.47627052861723934 cu-fit
48.6 0.5060207810864016 cu-fit
48.7 0.537629383944257 cu-fit
48.8 0.5712124191020657 cu-fit
48.9 0.6068932195310685 cu-fit
49.0 0.644802822200148 cu-fit
49.1 0.6850804493062742 cu-fit
49.2 0.7278740195650136 cu-fit
49.3 0.7733406914388119 cu-fit
49.4 0.8216474402980745 cu-fit
49.5 0.8729716716345752 cu-fit
49.6 0.9275018725793144 cu-fit
49.7 0.9854383041174313 cu-fit
49.8 1.0469937365423416 cu-fit
49.9 1.1123942308500612 cu-fit
50.0 1.1818799689433062 cu-fit
50.1 1.2557061356943606 cu-fit
50.2 1.3341438561060015 cu-fit
50.3 1.417481191012207 cu-fit
50.4 1.5060241949753868 cu-fit
50.5 1.6000980402650928 cu-fit
50.6 1.7000482110461936 cu-fit
50.7 1.8062417721619997 cu-fit
50.8 1.919068717171963 cu-fit
50.9 2.0389434005946283 cu-fit
51.0 2.166306059615615 cu-fit
51.1 2.3016244308491944 cu-fit
51.2 2.4453954680908994 cu-fit
51.3 2.5981471673695937 cu-fit
51.4 2.76044050600152 cu-fit
51.5 2.9328715027673242 cu-fit
51.6 3.116073406778189 cu-fit
51.7 3.310719023069494 cu-fit
51.8 3.5175231834628122 cu-fit
51.9 3.737245371770313 cu-fit
52.0 3.970692512982633 cu-fit
52.1 4.21872193668351 cu-fit
52.2 4.482244525574148 cu-fit
52.3 4.76222806067025 cu-fit
52.4 5.059700775456954 cu-fit
52.5 5.375755132054008 cu-fit
52.6 5.711551833259366 cu-fit
52.7 6.068324085205133 cu-fit
52.8 6.4473821262803925 cu-fit
52.9 6.850118038953583 cu-fit
53.0 7.278010862165041 cu-fit
53.1 7.732632023065619 cu-fit
53.2 8.215651108049201 cu-fit
53.3 8.728841994272189 cu-fit
53.4 9.274089364179764 cu-fit
53.5 9.853395626960594 cu-fit
53.6 10.4688882723521 cu-fit
53.7 11.122827683799937 cu-fit
53.8 11.81761543966789 cu-fit
53.9 12.555803132982337 cu-fit
54.0 13.340101742102236 cu-fit
54.1 14.173391586729233 cu-fit
54.2 15.058732905818797 cu-fit
54.3 15.999377096242359 cu-fit
54.4 16.998778653471827 cu-fit
54.5 18.06060785813922 cu-fit
54.6 19.188764255063703 cu-fit
54.7 20.38739097424541 cu-fit
54.8 21.66088994642038 cu-fit
54.9 23.013938069057005 cu-fit
55.0 24.451504382160525 cu-fit
55.1 25.97886831696464 cu-fit
55.2 27.601639084529804 cu-fit
55.3 29.325776275448334 cu-fit
55.4 31.157611746313382 cu-fit
55.5 33.10387287332502 cu-fit
55.6 35.171707258433266 cu-fit
55.7 37.36870897875354 cu-fit
55.8 39.70294647564855 cu-fit
55.9 42.18299218590814 cu-fit
56.0 44.8179540238344 cu-fit
56.1 47.61750882986361 cu-fit
56.2 50.591937908550975 cu-fit
56.3 53.75216478644183 cu-fit
56.4 57.10979532848598 cu-fit
56.5 60.67716036032482 cu-fit
56.6 64.46736095298496 cu-fit
56.7 68.49431653627522 cu-fit
56.8 72.77281601759506 cu-fit
56.9 77.31857209387572 cu-fit
40 0.0006666666666666666 mt-0
40 0.0005 mt-1
40 0.0001 mt-2
40 0.0005 mt-med
40 0.0004222222222222222 mt-avg
41 0.0013166666666666667 mt-0
41 0.0007333333333333333 mt-1
41 0.00048333333333333334 mt-2
41 0.0038333333333333336 mt-3
41 0.001025 mt-med
41 0.0015916666666666668 mt-avg
42 0.0019500000000000001 mt-0
42 0.0006 mt-1
42 0.00345 mt-2
42 0.0017833333333333334 mt-3
42 0.0018666666666666666 mt-med
42 0.0019458333333333335 mt-avg
43 0.0033833333333333337 mt-0
43 0.0125 mt-1
43 0.006733333333333333 mt-2
43 0.01545 mt-3
43 0.009616666666666666 mt-med
43 0.009516666666666666 mt-avg
44 0.013083333333333334 mt-0
44 0.034499999999999996 mt-1
44 0.013116666666666667 mt-2
44 0.005816666666666666 mt-3
44 0.0131 mt-med
44 0.016629166666666667 mt-avg
45 0.0181 mt-0
45 0.056549999999999996 mt-1
45 0.04805 mt-2
45 0.08435 mt-3
45 0.0523 mt-med
45 0.0517625 mt-avg
46 0.05115 mt-0
46 0.040016666666666666 mt-1
46 0.013416666666666667 mt-2
46 0.0868 mt-3
46 0.04558333333333333 mt-med
46 0.04784583333333334 mt-avg
47 0.06793333333333333 mt-0
47 0.03578333333333333 mt-1
47 0.04458333333333333 mt-2
47 0.07401666666666666 mt-3
47 0.056258333333333334 mt-med
47 0.055579166666666666 mt-avg
48 0.22813333333333335 mt-0
48 0.18371666666666667 mt-1
48 0.25725000000000003 mt-2
48 0.48801666666666665 mt-3
48 0.24269166666666667 mt-med
48 0.2892791666666667 mt-avg
49 0.7675166666666667 mt-0
49 0.2841333333333333 mt-1
49 0.5637166666666666 mt-2
49 0.52525 mt-3
49 0.5444833333333333 mt-med
49 0.5351541666666667 mt-avg
50 0.8630833333333333 mt-0
50 3.7683833333333334 mt-1
50 1.2004333333333332 mt-2
50 0.6228 mt-3
50 1.0317583333333333 mt-med
50 1.613675 mt-avg
51 3.4750666666666663 mt-0
51 2.1593999999999998 mt-1
51 3.2150166666666666 mt-2
51 4.6566 mt-3
51 3.3450416666666665 mt-med
51 3.376520833333333 mt-avg
52 4.51165 mt-0
52 15.892333333333333 mt-1
52 6.507766666666667 mt-2
52 12.886983333333335 mt-3
52 9.697375 mt-med
52 9.949683333333333 mt-avg
53 51.641200000000005 mt-0
53 31.489266666666666 mt-1
53 52.536566666666666 mt-2
53 28.78098333333333 mt-3
53 41.56523333333334 mt-med
53 41.112004166666665 mt-avg
54 49.922866666666664 mt-0
54 32.21606666666666 mt-1
54 562.19305 mt-2
54 121.83413333333333 mt-3
54 85.8785 mt-med
54 191.54152916666666 mt-avg
55 26.164966666666665 mt-0
55 179.81456666666665 mt-1
55 152.59369999999998 mt-2
55 inf mt-3
55 166.20413333333332 mt-med
55 inf mt-avg
56 193.6944 mt-0
56 127.13488333333333 mt-1
56 46.104683333333334 mt-2
56 162.7484 mt-3
56 144.94164166666667 mt-med
56 132.42059166666667 mt-avg
57 183.6277 mt-0
57 343.53141666666664 mt-1
57 616.7255166666667 mt-2
57 inf mt-3
57 480.12846666666667 mt-med
57 inf mt-avg
58 740.4364 mt-0
58 740.4364 mt-med
58 740.4364 mt-avg
40.0 0.00041704194195555435 mt-fit
40.1 0.0004527276685574953 mt-fit
40.2 0.0004914669755190928 mt-fit
40.3 0.0005335211536672579 mt-fit
40.4 0.0005791738521388925 mt-fit
40.5 0.0006287329915518398 mt-fit
40.6 0.0006825328408833743 mt-fit
40.7 0.0007409362720644184 mt-fit
40.8 0.0008043372074963939 mt-fit
40.9 0.0008731632769988806 mt-fit
41.0 0.0009478787021087073 mt-fit
41.1 0.0010289874271847549 mt-fit
41.2 0.0011170365184372199 mt-fit
41.3 0.0012126198538073092 mt-fit
41.4 0.0013163821285850942 mt-fit
41.5 0.0014290232037827044 mt-fit
41.6 0.0015513028265920913 mt-fit
41.7 0.001684045754766168 mt-fit
41.8 0.001828147319486352 mt-fit
41.9 0.0019845794642374282 mt-fit
42.0 0.0021543973004207995 mt-fit
42.1 0.0023387462239230065 mt-fit
42.2 0.0025388696406395267 mt-fit
42.3 0.002756117353061406 mt-fit
42.4 0.002991954664491095 mt-fit
42.5 0.0032479722622937883 mt-fit
42.6 0.0035258969468456762 mt-fit
42.7 0.003827603278543994 mt-fit
42.8 0.0041551262214362915 mt-fit
42.9 0.0045106748687484795 mt-fit
43.0 0.004896647342887684 mt-fit
43.1 0.005315646970419233 mt-fit
43.2 0.005770499841114509 mt-fit
43.3 0.006264273869503441 mt-fit
43.4 0.006800299487498973 mt-fit
43.5 0.0073821921076615525 mt-fit
43.6 0.008013876508615863 mt-fit
43.7 0.008699613307095143 mt-fit
43.8 0.009444027695163245 mt-fit
43.9 0.010252140636443073 mt-fit
44.0 0.011129402731764286 mt-fit
44.1 0.01208173098265029 mt-fit
44.2 0.013115548700607795 mt-fit
44.3 0.01423782883140148 mt-fit
44.4 0.015456140986529454 mt-fit
44.5 0.01677870249911978 mt-fit
44.6 0.018214433848612446 mt-fit
44.7 0.019773018828057983 mt-fit
44.8 0.021464969859851916 mt-fit
44.9 0.02330169890045094 mt-fit
45.0 0.02529559441231018 mt-fit
45.1 0.0274601049222087 mt-fit
45.2 0.02980982972954952 mt-fit
45.3 0.032360617376448575 mt-fit
45.4 0.03512967254378001 mt-fit
45.5 0.038135672094172124 mt-fit
45.6 0.04139889104465104 mt-fit
45.7 0.04494133931859565 mt-fit
45.8 0.04878691019937623 mt-fit
45.9 0.05296154148697447 mt-fit
46.0 0.05749339044456193 mt-fit
46.1 0.0624130237150255 mt-fit
46.2 0.06775362348839847 mt-fit
46.3 0.07355121131076502 mt-fit
46.4 0.07984489104419881 mt-fit
46.5 0.08667711261645668 mt-fit
46.6 0.0940939583393892 mt-fit
46.7 0.1021454537272361 mt-fit
46.8 0.11088590491123118 mt-fit
46.9 0.12037426492633187 mt-fit
47.0 0.13067453134061138 mt-fit
47.1 0.14185617790927907 mt-fit
47.2 0.15399462316475968 mt-fit
47.3 0.16717173910340596 mt-fit
47.4 0.1814764033998593 mt-fit
47.5 0.19700509887366155 mt-fit
47.6 0.21386256425143185 mt-fit
47.7 0.2321625006138996 mt-fit
47.8 0.25202833829267385 mt-fit
47.9 0.27359406938936137 mt-fit
48.0 0.297005151532226 mt-fit
48.1 0.32241948896612516 mt-fit
48.2 0.3500084975930054 mt-fit
48.3 0.3799582611464999 mt-fit
48.4 0.4124707862988691 mt-fit
48.5 0.4477653651657538 mt-fit
48.6 0.48608005439868057 mt-fit
48.7 0.5276732808415416 mt-fit
48.8 0.5728255845809754 mt-fit
48.9 0.6218415111472589 mt-fit
49.0 0.6750516656283252 mt-fit
49.1 0.732814942551596 mt-fit
49.2 0.7955209465738495 mt-fit
49.3 0.8635926203063071 mt-fit
49.4 0.9374890969992656 mt-fit
49.5 1.0177087973271088 mt-fit
49.6 1.104792791161177 mt-fit
49.7 1.1993284470050556 mt-fit
49.8 1.3019533937072039 mt-fit
49.9 1.4133598211721325 mt-fit
50.0 1.5342991490776507 mt-fit
50.1 1.665587095088153 mt-fit
50.2 1.8081091767481585 mt-fit
50.3 1.9628266841656066 mt-fit
50.4 2.1307831637697445 mt-fit
50.5 2.3131114568755966 mt-fit
50.6 2.5110413405290664 mt-fit
50.7 2.7259078221690394 mt-fit
50.8 2.9591601440527096 mt-fit
50.9 3.2123715581777654 mt-fit
51.0 3.487249937631504 mt-fit
51.1 3.78564929593925 mt-fit
51.2 4.109582292108052 mt-fit
51.3 4.461233805710398 mt-fit
51.4 4.842975673570022 mt-fit
51.5 5.257382687446074 mt-fit
51.6 5.70724996061826 mt-fit
51.7 6.19561178050751 mt-fit
51.8 6.725762074490458 mt-fit
51.9 7.301276626946547 mt-fit
52.0 7.926037197388465 mt-fit
52.1 8.604257702349 mt-fit
52.2 9.340512637617346 mt-fit
52.3 10.13976793252838 mt-fit
52.4 11.007414444413028 mt-fit
52.5 11.949304319123621 mt-fit
52.6 12.971790462881993 mt-fit
52.7 14.081769391680973 mt-fit
52.8 15.286727747252362 mt-fit
52.9 16.594792793345235 mt-fit
53.0 18.014787232902805 mt-fit
53.1 19.556288715873603 mt-fit
53.2 21.2296944390268 mt-fit
53.3 23.046291273487473 mt-fit
53.4 25.01833189299433 mt-fit
53.5 27.15911741634863 mt-fit
53.6 29.483087121470327 mt-fit
53.7 32.005915836166196 mt-fit
53.8 34.74461966249689 mt-fit
53.9 37.717670747839335 mt-fit
54.0 40.94512187675449 mt-fit
54.1 44.44874172401852 mt-fit
54.2 48.25216168107564 mt-fit
54.3 52.38103524623585 mt-fit
54.4 56.86321105368261 mt-fit
54.5 61.728920708339956 mt-fit
54.6 67.01098269352435 mt-fit
54.7 72.74502372670027 mt-fit
54.8 78.96971905635887 mt-fit
54.9 85.72705332078077 mt-fit
55.0 93.06260372813388 mt-fit
55.1 101.02584746792276 mt-fit
55.2 109.67049542722538 mt-fit
55.3 119.0548544625862 mt-fit
55.4 129.24222067103943 mt-fit
55.5 140.30130631280434 mt-fit
55.6 152.3067032651989 mt-fit
55.7 165.33938613368625 mt-fit
55.8 179.48725841346703 mt-fit
55.9 194.84574538540218 mt-fit
56.0 211.51843774524139 mt-fit
56.1 229.61779030736685 mt-fit
56.2 249.26588049567644 mt-fit
56.3 270.5952317375427 mt-fit
56.4 293.74970731449537 mt-fit
56.5 318.88548069851265 mt-fit
56.6 346.17208891871996 mt-fit
56.7 375.7935760632738 mt-fit
56.8 407.9497346291854 mt-fit
56.9 442.85745309281896 mt-fit
