dim time avg
53 8.7786 8.204658333333333
53 7.630716666666667 8.922972222222223
53 10.3596 8.114566666666667
53 5.68935 8.152879166666667
53 8.931849999999999 10.177433333333333
53 15.728933333333334 10.735933333333332
53 12.5936 13.144545833333332
53 15.3238 11.481470833333333
53 2.27955 8.5978375
53 4.1944 6.8722166666666675
53 5.691116666666667 5.7354666666666665
53 10.7768 8.352375
53 12.747183333333334 10.32925
53 12.1019 15.305320833333333
53 25.595399999999998 24.437458333333332
53 47.30535 33.179495833333334
53 47.715333333333334 32.92255
53 11.074116666666667 29.558433333333333
53 12.138933333333334 20.94145
53 12.837416666666666 13.096233333333334
53 16.334466666666668 16.892866666666666
53 26.26065 16.044516666666667
53 8.745533333333332 14.928716666666666
53 8.374216666666666 13.207608333333333
53 9.450033333333332 10.4920625
53 15.398466666666668 10.254
53 7.793283333333333 11.378762499999999
53 12.873266666666666 13.783716666666667
53 19.06985 16.840520833333333
53 27.62568333333333 22.326845833333334
53 29.738583333333334 23.959641666666666
53 19.40445 22.757150000000003
53 14.259883333333333 21.27412916666667
53 21.6936 19.7806875
53 23.764816666666665 18.848166666666668
53 15.674366666666666 24.773612500000002
53 37.961666666666666 23.28014166666667
53 15.719716666666667 19.309629166666664
53 7.882766666666667 19.397645833333335
53 16.026433333333333 16.110945833333332
53 24.814866666666667 14.096412500000001
53 7.661583333333334 15.031958333333334
53 11.62495 14.599400000000001
53 14.2962 13.511266666666668
53 20.462333333333333 15.2083625
53 14.449966666666667 13.322650000000001
53 4.0821 10.587691666666666
52 3.3563666666666667 6.140874999999999
51 2.6750666666666665 2.985691666666667
50 1.8292333333333335 2.0863958333333334
49 0.48491666666666666 1.2890208333333333
48 0.16686666666666666 0.6657333333333334
47 0.18191666666666664 0.22530833333333333
46 0.06753333333333332 0.11493333333333333
45 0.043416666666666666 0.07462083333333333
44 0.005616666666666667 0.030020833333333333
43 0.0035166666666666666 0.013858333333333334
42 0.0028833333333333332 0.0034791666666666664
41 0.0019 0.0022333333333333333
40 0.0006333333333333333 0.0014375
39 0.0003333333333333333 0.0007583333333333333
38 0.00016666666666666666 0.00030416666666666667
37 8.333333333333333e-05 0.00015833333333333332
36 5e-05 7.916666666666666e-05
35 1.6666666666666667e-05 3.75e-05
34 0.0 1.6666666666666667e-05
33 0.0 4.166666666666667e-06
32 0.0 0.0
31 0.0 0.0
30 0.0 0.0
29 0.0 0.0
28 0.0 0.0
27 0.0 0.0
26 0.0 0.0
25 0.0 0.0
24 0.0 0.0
23 0.0 0.0
22 0.0 0.0
21 0.0 0.0
20 0.0 0.0
19 0.0 0.0
18 0.0 0.0
17 0.0 0.0
16 0.0 0.0
15 0.0 0.0
14 0.0 0.0
13 0.0 0.0
12 0.0 0.0
11 0.0 0.0
10 0.0 0.0
9 0.0 0.0
8 0.0 0.0
7 0.0 0.0
6 0.0 0.0
5 0.0 0.0
4 0.0 0.0
3 0.0 0.0
2 0.0 0.3893291666666666
53 1.5573166666666665 0.7686291666666667
53 1.5171999999999999 1.3969791666666667
53 2.5134 2.347775
53 3.8031833333333336 3.085083333333333
53 4.50655 4.3631416666666665
53 6.629433333333334 5.835229166666666
53 8.40175 7.970320833333333
53 12.34355 10.435870833333333
53 14.36875 12.341891666666667
53 14.253516666666666 13.322408333333334
53 12.323816666666666 11.735245833333332
53 5.9949 8.717350000000001
53 2.297166666666667 6.152895833333333
53 3.9957 3.9671958333333333
53 3.5810166666666663 3.4532749999999997
53 3.939216666666667 3.145620833333333
53 1.06655 2.4019791666666666
53 1.0211333333333334 1.7897916666666667
53 1.1322666666666668 1.3633
53 2.23325 1.87855
53 3.12755 3.1226833333333333
53 5.9976666666666665 4.049558333333334
53 4.839766666666667 4.290562499999999
53 3.1972666666666667 4.351675
53 3.372 3.940279166666667
53 4.352083333333334 4.2059125
53 5.902299999999999 6.076933333333333
53 10.68135 8.552833333333332
53 13.275599999999999 11.3017125
53 15.3476 14.010370833333333
53 16.736933333333333 13.011770833333333
53 6.6869499999999995 11.21305
53 6.0807166666666665 8.745141666666665
53 5.475966666666666 6.454808333333333
53 7.5756 7.075537499999999
53 9.169866666666667 8.695875000000001
53 12.562066666666668 12.2784875
53 19.806416666666667 13.175741666666665
53 11.164616666666666 15.095070833333333
53 16.847183333333334 16.00497916666667
53 16.2017 17.591983333333335
53 26.154433333333333 19.67598333333333
53 19.500616666666666 23.985904166666668
53 34.086866666666666 23.933641666666666
53 15.99265 22.09272916666667
53 18.79078333333333 22.9671375
53 22.99825 15.802558333333334
53 5.42855 12.554891666666666
52 3.0019833333333334 8.504695833333333
51 2.5900000000000003 2.899808333333333
50 0.5787 1.6269
49 0.33691666666666664 0.925125
48 0.19488333333333333 0.3239666666666666
47 0.18536666666666665 0.21812083333333332
46 0.1553166666666667 0.15273333333333333
45 0.07536666666666667 0.11158749999999999
44 0.0303 0.06645833333333333
43 0.004849999999999999 0.027875
42 0.0009833333333333332 0.009245833333333333
41 0.00085 0.0019208333333333334
40 0.001 0.0008041666666666667
